id,name,category,status,healthStatus,currentProject,note,subDevices
MM-BATTERY-LUMIX-8,Lumix,Battery,AVAILABLE,GOOD,,,
MM-CAM-S5-1,Lumix s5,Camera,AVAILABLE,GOOD,,,
MM-CAM-S51Ix-2,Lumix s5 IIx,Camera,AVAILABLE,GOOD,,,
MM-CAM-BM4K-1,Black Magic Studio 4K,Camera,AVAILABLE,GOOD,,,
MM-CAM-BM4K-2,Black Magic Studio 4K,Camera,AVAILABLE,GOOD,,,
MM-CAM-SONY-1,Sony Handycam 4K,Camera,AVAILABLE,GOOD,,,
MM-LENS-LUMIX-24/105-1,Lumix 24-105,Lens,AVAILABLE,GOOD,,,
MM-LENS-LUMIX-70/300-2,Lumix 70-300,Lens,AVAILABLE,GOOD,,,
MM-LENS-LUMIX-100-3,Lumix 100,Lens,AVAILABLE,GOOD,,,
MM-LENS-LUMIX-S16/35-4,Lumix S Pro 16-35,Lens,AVAILABLE,GOOD,,,
MM-LENS-LUMIX-G75/175-5,Lumix G 75-175 PZ,Lens,AVAILABLE,GOOD,,,
MM-LENS-LUMIX-G14/42-6,Lumix G 14-42 PZ,Lens,AVAILABLE,GOOD,,,
MM-BATTERY-ZGCINE-V99-1,ZGCINE V99,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-ZGCINE-V99-2,ZGCINE V99,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-ZGCINE-V99-3,ZGCINE V99,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-ZGCINE-V99-4,ZGCINE V99,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-ZGCINE-X99-5,ZGCINE X99,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-SMALLRIG-99-6,SMALLRIG 99,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-1,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-2,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-3,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-4,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-5,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-6,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-LUMIX-7,Lumix,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-NPF970-1,NP-F970,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-NPF970-2,NP-F970,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-NPF970-3,NP-F970,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-SONY-4,Sony,Battery,AVAILABLE,GOOD,,,
MM-BATTERY-SONY-5,Sony,Battery,AVAILABLE,GOOD,,,
MM-BM-ZOOM-1,Blackmagic Design Zoom Demand,Camera,AVAILABLE,GOOD,,,
MM-BM-ZOOM-2,Blackmagic Design Zoom Demand,Camera,AVAILABLE,GOOD,,,
MM-BM-FOCUS-1,Blackmagic Design Focus Demand,Camera,AVAILABLE,GOOD,,,
MM-BM-FOCUS-2,Blackmagic Design Focus Demand,Camera,AVAILABLE,GOOD,,,
MM-FILTER-HAIDA,HAIDA CPL-VND,Filter,AVAILABLE,GOOD,,,
MM-SENN-GW4-1,Sennheiser GW4 (R+T),Mic Wireless,AVAILABLE,GOOD,,,
MM-SENN-GW4-2,Sennheiser GW4 (R+T),Mic Wireless,AVAILABLE,GOOD,,,
MM-SENN-GW4-3,Sennheiser GW4 (R+T),Mic Wireless,AVAILABLE,GOOD,,,
MM-SENN-GW4-4,Sennheiser GW4 (R+T),Mic Wireless,AVAILABLE,GOOD,,,
MM-SENN-GW4-5,Sennheiser GW4 (R+T),Mic Wireless,AVAILABLE,GOOD,,,
MM-SENN-GW4-6,Sennheiser GW4 (R+T),Mic Wireless,AVAILABLE,GOOD,,,
MM-RODEG02-1,RODE Wireless GO II 2T 1R,Mic Wireless,AVAILABLE,INCOMPLETE,,,
MM-RODEG02-2,RODE Wireless GO II 2T 1R,Mic Wireless,AVAILABLE,GOOD,,,
MM-RODEPRO-1,RODE Wireless PRO 2T 1R,Mic Wireless,AVAILABLE,INCOMPLETE,,,
MM-RODEPRO-2,RODE Wireless PRO 2T 1R,Mic Wireless,AVAILABLE,GOOD,,,
MM-RODEPRO-3,RODE Wireless PRO 2T 1R,Mic Wireless,AVAILABLE,INCOMPLETE,,,
MM-RODEPRO-4,RODE Wireless PRO 2T 1R,Mic Wireless,AVAILABLE,GOOD,,,
MM-RODEPRO-5,RODE Wireless PRO 2T 1R,Mic Wireless,AVAILABLE,INCOMPLETE,,,
MM-RODEPRO-6,RODE Wireless PRO 2T 1R,Mic Wireless,AVAILABLE,GOOD,,,
MM-TRANS-HANDHELD-1,Senheiser (handheld),Transmitter,AVAILABLE,GOOD,,,
MM-MIC-ME2-1,Mic Val Sennheiser ME2-11,Mic,AVAILABLE,GOOD,,,
MM-MIC-ME2-2,Mic Val Sennheiser ME2-11,Mic,AVAILABLE,GOOD,,,
MM-MIC-RODENT3-1,RODE Handheld NT3,Mic,AVAILABLE,GOOD,,,
MM-MIC-SHUREMV7-2,Shure MV7,Mic,AVAILABLE,GOOD,,,
MM-MIC-SHUREMV7-3,Shure MV7,Mic,AVAILABLE,GOOD,,,
MM-MIC-SENALENG18RL-4,Senal ENG-18RL,Mic,AVAILABLE,GOOD,,,
MM-MIC-RODE-VIDEOMIC-5,RODE VideoMic Pro,Mic,AVAILABLE,GOOD,,,
MM-RECORDER-ZOOMH4-1,Zoom H4N,Sound Recorder,AVAILABLE,GOOD,,,
MM-RECORDER-ZOOMH6-2,Zoom H6,Sound Recorder,AVAILABLE,GOOD,,,
MM-RECORDER-ZOOMH6-3,Zoom H6,Sound Recorder,AVAILABLE,GOOD,,,
MM-RECORDER-ZOOMH6-4,Zoom H6,Sound Recorder,AVAILABLE,GOOD,,,
MM-GIMBAL-RS3PRO-1,Ronin RS3 PRO,Gimbal,AVAILABLE,INCOMPLETE,,,
MM-LIGHT-ZHIYUN-100-1,Zhiyun 100W,Lighting,AVAILABLE,GOOD,,,
MM-LIGHT-ZHIYUN-200-2,Zhiyun 200W,Lighting,AVAILABLE,MAINTENANCE,,,
MM-LIGHT-ZHIYUN-200-3,Zhiyun 200W,Lighting,AVAILABLE,GOOD,,,
MM-LIGHT-GODOX-200-4,Godox 200W,Lighting,AVAILABLE,INCOMPLETE,,,
MM-LIGHT-ULANZI-60-5,Ulanzi 60,Lighting,AVAILABLE,GOOD,,,
MM-LIGHT-ULANZI-60-6,Ulanzi 60,Lighting,AVAILABLE,GOOD,,,
MM-MONITOR-VILTROX-5.5-1,Viltrox DC550 Pro,Monitor,AVAILABLE,GOOD,,,
MM-MONITOR-VILTROX-5.5-2,Viltrox DC550 Pro,Monitor,AVAILABLE,MAINTENANCE,,,
MM-MONITOR-FEELWORLD-7.0-3,FEELWORLD,Monitor,AVAILABLE,GOOD,,,
MM-ACCSOON-R-1,Accsoon (Rx),Wireless Video,AVAILABLE,GOOD,,,
MM-ACCSOON-T-1,Accsoon (Tx),Wireless Video,AVAILABLE,GOOD,,,
MM-TRIPOD-BENRO-1,Benro,Tripod,AVAILABLE,GOOD,,,
MM-TRIPOD-BENROMINI-2,Benro Mini,Tripod,AVAILABLE,GOOD,,,
